,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
Healthcare_restrictions_2_Other,-0.0871026761792427,0.1099512484034436,-0.7921936080219596,0.4282477950731713,0.1136646767388048,-0.7663126195255878,0.4434903112793966,-0.3026071230499922,0.1284017706915067,1.0299367771141403,-4.981515974614358,4.279454346290018
Healthcare_restrictions_2_Radio or podcasts,0.1000075225821455,0.1558815628606551,0.6415609437502483,0.5211582987081709,0.168280216580193,0.5942916203372459,0.5523170823167438,-0.2055203406247385,0.4055353857890296,-0.8581517862911872,-4.685126693557256,5.497402231503449
Healthcare_restrictions_2_TV (including cable),-0.0980429755264369,0.0685662338374353,-1.4299017174968138,0.1527452290286473,0.0680841290202026,-1.440026874653044,0.1498597958408063,-0.2324327938478103,0.0363468427949363,0.8325584812368592,-0.5889511340478728,1.9722050019960635
Healthcare_restrictions_3,-0.3091648303939778,0.0522122483552507,-5.921308507736126,3.1939004774272912e-09,0.055197962274284,-5.601018908229035,2.1309548792203262e-08,-0.4115008371702693,-0.2068288236176863,1.456487792638672,0.8827418587313018,1.9596754768172984
Healthcare_restrictions_3_News apps or websites,-0.1490860105284206,0.0845138434502882,-1.764042486318993,0.077724826383472,0.0877721149246641,-1.6985578011465583,0.0894025331854841,-0.3147331436909856,0.0165611226341443,0.7029202984735665,-0.17751665927521432,1.4819373326386507
Healthcare_restrictions_3_Other,-0.081511522852361,0.1118856305578134,-0.7285253919201217,0.4662920308869664,0.1199525651364609,-0.6795313027248023,0.4968012806604713,-0.3008073587456754,0.1377843130409534,0.96382475059053,-5.036009619309168,4.346454690699095
Healthcare_restrictions_3_Radio or podcasts,0.0373649871010559,0.1576026078656407,0.2370835584961281,0.8125919672119015,0.1521763159959719,0.2455374665663808,0.8060403017314615,-0.2715361243155998,0.3462660985177117,-0.3206241850374851,-4.695540457941251,4.975356673954399
Healthcare_restrictions_3_TV (including cable),-0.1762739441305973,0.0701468013390656,-2.512929182309389,0.0119733367421601,0.0741668076452866,-2.37672281883363,0.0174672082206714,-0.3137616747551659,-0.0387862135060287,1.496877939689093,-0.15621527820490155,2.673651977743589
Mask_mandates_2,0.0130532097874691,0.0566285017265781,0.2305060065070162,0.8176985966275838,0.0591551399181038,0.2206606189342201,0.8253566971342585,-0.0979386535966239,0.1240450731715623,-0.06149418963978869,-0.5890046725697827,0.4669849597350768
Mask_mandates_2_News apps or websites,0.0671896300515905,0.0925350160832954,0.7260995123306592,0.4677777679773629,0.0968978554913816,0.693406780891725,0.488054308038357,-0.1141790014716685,0.2485582615748495,-0.31678998346521015,-1.1862932737807208,0.5909709572806655
Mask_mandates_2_Other,0.0647826355143634,0.1225809889800525,0.528488438977315,0.5971603691316096,0.1308520917750203,0.4950829187029508,0.6205415906947573,-0.1754761028865396,0.3050413739152664,-0.7660157157206142,-4.64943466535963,5.279655722865678
Mask_mandates_2_Radio or podcasts,0.0360022762910917,0.1734741875710914,0.2075367914684,0.8355906626483991,0.1706889723228162,0.2109232705613944,0.8329471453153898,-0.3040071313482476,0.376011683930431,-0.3089309375139446,-5.131379813524163,5.3714158801205425
