,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
School_closures_2,0.1482888609981647,0.0400370732051392,3.7037887419585407,0.000212403164737,0.0429169336809955,3.455252933501865,0.000549776804706,0.0698161975160918,0.2267615244802377,-0.4574981282725024,-0.7005980846009109,-0.21225865787778989
School_closures_2_Male,-0.0561785801301583,0.0570698179830059,-0.9843833766367882,0.3249270483565887,0.0608415058793896,-0.9233594619029486,0.3558199099440906,-0.16803542337685,0.0556782631165333,-1.5517846929057204,-7.7202462600214385,9.72619112370187
School_closures_2_Non-binary or Self-define or Prefer not to answer,0.7986814026362938,0.3947523030945256,2.023246973799277,0.0430476908785493,0.3962545899537724,2.0155764068990822,0.0438442889173136,0.0249668885710236,1.572395916701564,-8.378623353501922,-87.30067529877387,62.20356164925376
School_closures_3,-0.2671388500645663,0.0403759022743774,-6.616294250199152,3.6831426797334637e-11,0.0430633476995529,-6.203392544591683,5.525877533330004e-10,-0.3462756185223461,-0.1880020816067865,0.8241719780619283,0.5651584813864337,1.0726563846542854
School_closures_3_Male,0.0877357759228161,0.0579014816888308,1.5152595989566926,0.1297066752981677,0.0602131709111706,1.45708612576222,0.1450926077064585,-0.0257511281872923,0.2012226800329245,2.423468763037402,-12.38713700718134,8.319969283164271
School_closures_3_Non-binary or Self-define or Prefer not to answer,0.8376559516375333,0.3930529580524241,2.1311529005865144,0.0330765477716346,0.3276581814321436,2.556493318666018,0.0105733101562954,0.067272153854782,1.6080397494202845,-8.787488597360237,-95.17303349490058,64.91528105249274
School_closures_4,0.1741139450943303,0.0516449235690133,3.371366110391491,0.0007479638580483,0.0538060271711448,3.2359561604597435,0.0012123600233404,0.0728898948990642,0.2753379952895965,-0.5371732134875812,-0.8510869314111629,-0.2170254270666429
School_closures_4_Male,-0.2163924003684564,0.0738046918845478,-2.9319599451340763,0.0033683018672583,0.0763116828820159,-2.8356392127142143,0.0045734078232557,-0.3610495964621702,-0.0717352042747425,-5.977267737541707,-23.16057820508727,27.565728510932786
School_closures_4_Non-binary or Self-define or Prefer not to answer,0.6435285560908921,0.4878512956041071,1.3191080189589524,0.1871330026914071,0.5190227706067907,1.2398850157162495,0.2150179269427625,-0.3126599832931579,1.5997170954749422,-6.750981518927259,-72.13115707322255,51.62149244059731
School_closures_5,-0.3145281837299306,0.0515990026638377,-6.0956252542137275,1.090105117285134e-09,0.0540771114433693,-5.816290392272723,6.016790621288237e-09,-0.4156622289510525,-0.2133941385088086,0.9703766984033542,0.6409857784147656,1.2873331233239338
School_closures_5_Male,0.0033054201517697,0.073803057035837,0.0447870357208203,0.9642770587203332,0.0764063778350768,0.043261050260811,0.9654934395258874,-0.1413485716384708,0.1479594119420103,0.09130348939496899,-8.980214417679424,8.954238810748773
School_closures_5_Non-binary or Self-define or Prefer not to answer,0.5222244150566135,0.4907452431357247,1.0641456486052636,0.2872627242676004,0.4139433147502472,1.2615843678299232,0.2070983840571629,-0.4396362614894068,1.4840850916026338,-5.478431907040113,-67.1692062748199,46.72560004392978
Transit_2,0.0830116371621092,0.0285102832507922,2.9116384580220687,0.0035953852156509,0.0288214189713733,2.880206461887248,0.0039741482866266,0.0271314819905563,0.138891792333662,-0.2561060107338143,-0.42932553761330505,-0.08028422050543185
Transit_2_Male,-0.0628438161163599,0.0409726694684075,-1.533798430312588,0.1250792492891514,0.0418970307710216,-1.4999587073322227,0.1336250991230758,-0.1431502482744387,0.0174626160417187,-1.7358942085614852,-6.178229968762269,9.032542634134701
Transit_2_Non-binary or Self-define or Prefer not to answer,0.1959436164406,0.2709309846094605,0.7232233578711839,0.4695426706231846,0.2621278979664254,0.7475114932852261,0.4547548677517641,-0.3350811133939425,0.7269683462751427,-2.0555602712918737,-28.327413097380035,21.81220058120883
